cisGene.Symbol,transGene.Symbol
PMS2P11,PMS2P7
MDM4,AC006547.8
ECM1,CRB3
ATP8A2P2,TMEM198B
WDR59,RP11-434B12.1
CPEB2,FASTK
RANGAP1,RCAN1
LEMD2,FAM120AOS
CTD-3092A11.1,GOLGA8I
CCT7P1,HOXA-AS2
LOX,THY1
MRPS16,FAM86B3P
SCN11A,
DHX33,GLI3
RP11-6N17.4,RECK
CUBN,TCTN1
XXbac-BPG299F13.17,RP11-66N24.4
RP11-890B15.3,ZXDC
GTF2H2C,GTF2H2
LL22NC03-2H8.4,
ANGPTL2,RP11-109D20.2
ETV6,ACTA2-AS1
CLTCL1,SOWAHC
RP11-480A16.1,RNU4-2
AKAP13,PCNX
MAN1B1,UPK1B
PRR13,CTC-471F3.4;PRR13P5
IFT88,
SLC7A5,SNX4
ADARB1,RP11-376P6.3
WIPI1,CCDC137
LEPR,HNMT
GSDMC,NACC1
OGN,COL14A1
RANGAP1,ARMC10
ERICH6-AS1;RP11-103G8.2,COQ10B
RP11-561O23.8,AKNA
SHANK3,
POLG,TEX10
SMYD1,CKM
ACOT2,NDC80
UBE2D3,OSR1
POMGNT1,CEMIP;KIAA1199
RP11-680F20.6,MLC1
MARVELD2,PTER
LINC01239;RP11-399D6.2,CDH5
HMCES,WFDC5
MAPK15,IKZF4
CIDEA,
SLC8A1,TMEM229B
GPR150,CFAP70;TTC18
STXBP3,
AC096574.4,LMNA
AL603965.1,RP11-38L15.3
FAM212A,NPR1
CTD-2033A16.1,PYGO1
RP11-218M22.1,SNORD62B
AKNA,SERBP1P6
DHFR,DHFRP1
GTF2H2B,GUSBP3
SERHL2,MIPEP
ORAI3,BAIAP3
CTD-3092A11.2,
C9orf156,TRA2B
SLC38A4,RP11-57H12.3
AC024560.3,RP11-713H12.2
CHN2,COX4I2
AC007276.5;DPY19L2P3,COX4I2
LINC01515;RP11-222A11.1,TPT1
PDAP1,RP11-324O2.3
C10orf112;MALRD1,ANXA10
JAKMIP2,RP11-673C5.1
AC138783.12,POM121B
hsa-mir-1199,TMCC2
MAP3K8,EXOC3
CTA-276O3.4,CDCA8
ALPL,AC004041.2;TH2LCRR
MOV10,CNP
GIMAP4,CASS4
NCBP2,ANKRD26P4
NMNAT3,CTD-2575K13.6
USP4,LRRC41
AGAP8,CTGLF11P
TMEM176B,RP11-433J20.1
ATP6AP1L,CBR1
TECPR1,JOSD1
CYFIP2,RP11-177C12.1
ZNF391,VRK2
TFPI,ZDHHC11B
PRORSD1P,TMEM120B
FAM86KP,MIR671
FBXW8,
NEK8,TMEM165
FLCN,LINS;LINS1
RALB,CGNL1
C5orf54;ZBED8,RP11-1026M7.2
ENTPD3-AS1,CLEC2L
AC016739.2,
CDYL,
MRPL20,ATF7
DTD2,CCDC71
RETN,SORCS1
IQCH-AS1,SMIM14
ELOVL6,HEATR4
C14orf37,TNFSF8
HNMT,LIMS2
CNOT6L,
TUBGCP5,CAPZA3
ZNF383,ZNHIT6
EAF2,
TMCC2,ID2
KRT1,
ATP1B3-AS1,RNF19A
UBE2W,SUGT1
GDPGP1,MSLN
RP11-1260E13.4,SDCBP2-AS1
AC123768.4,CTD-3092A11.1
STOX1,TCHHL1
CPNE2,ZNF329
PYCRL,PHBP12
ATF6B,RNF5P1
NAIP,SERF1B
POM121B,HSBP1
SVIP,AP001007.1
AC005523.2,LINC00957
FEM1A,LINC00957
ZNF324,NOC2L
RNU6ATAC38P,AC084219.4
RSU1,C9orf106
CTD-2201G16.1,CKM
MYH7,CKM
KLHL14,RNF19A
UNC50,WARS2
SP140L,GON4L
RP11-1078H9.5,NUS1P1
CTD-2085J24.4,INTS7
AC074289.1,ATP13A2
CTD-2651B20.4,LINC00162
HAUS4,RP11-660L16.2
FKBP7,LZTS3
AHI1,PPP1R12C
GLUD1P2,SYT15
GS1-124K5.12,RNF220
FGFR4,GS1-251I9.4;OTUD6B-AS1
RP11-121C2.2,BRMS1L
AKAP5,BRINP2
TMEM56,NPIPB15
HLA-DMA,MICB
LRRC37A17P,RP11-798G7.5
SIRT3,WASH2P
CTBS,POLH
TOP3A,USP32P1
AC092171.4,AC004540.5
TMED9,GCNT1
MAP3K1,MAST4
CKMT2-AS1,MRPS14
STRBP,C11orf94
TMEM173,C19orf69;ERICH4
RP11-80H5.5,AKR1A1
SMYD1,XIRP2
RP11-231C14.4,CTB-134H23.2
ABTB1,MPC2
SAP30,TTLL4
RP11-22B23.1,LINC01013
ZFP62,RP4-777O23.2
ZNF117,RP4-756H11.3
GNPDA1,MIR631
RP11-775L16.1,AC102953.4
ZNF607,OPN3
FAM105B;OTULIN,KLK1
SNX18P26,FEZ1
RP11-64D22.1,CDK4
ALS2,ZBED2
RFPL3S,KB-226F1.1
RP5-1042K10.13,
NECAP2,S100A7
SYK,MRPL45
MAGOH2;MAGOH2P,NR2F1-AS1
FAM86JP,FXYD7
RPS23,RPS23P8
FCGR3B,SNORA2
CTGLF12P,RP11-301J7.8
AP1M1,PTPN6
MIR3179-2,NOMO2
NOMO3,NOMO2
LINC00899,
GSDMC,PTGFR
DYNLT1,RP11-347I19.8
MKKS,RP11-456P18.2
CHMP2B,ASPDH
LINC01270;RP11-290F20.1,SYT12
ADAMTS15,AIMP2
CAPN15,NID1
RP11-534L20.5,DLX3
NKX3-2,
TMEM70,SMIM15
IGLL1,SMOC1
IGKV1-5,PDCD1
SNRPG,RP11-259O2.3
RP11-293M10.1,TAS2R19
FKBP6,HS3ST4
LINC00467,ARAP1-AS2
AC006946.17,CTD-3064M3.7
DDX60,PPP1R13B
ZNF609,PROX1
ZDHHC21,LRP4
RP11-408A13.4,LRP4
SULF2,DHRS9
CTD-2653D5.1,DHRS9
RASL10B,DLX4
PLA2G4C,SOX9
SERHL,MIPEP
RP11-344N10.5,
PSMG2,TMEM14E;TMEM14EP
MAP3K1,TERF2
KCP,GDF15
PASK,AC092652.1
TRUB1,C11orf57
CTD-3157E16.1,MEIS3P2
IL37,AC027612.1
PLD2,MORF4L1
AC093642.5,AC137934.1
OSBPL10,TRIB1
NECAP2,LINC01024
CTC-471F3.4;PRR13P5,KLK12
NDE1,RP11-507K2.2
CRTC3,
CES2,MSRB1
CEP68,ICOSLG
RP11-181K3.4,RP11-147L13.8
C4B,TRADD
RP11-302B13.1,UQCRFS1
FAM167A,AC087269.1
SLC26A1,HSPBAP1
IGSF22,LDHAP4
FGGY,RP11-617F23.1
FUT10,CEBPB
EML6,ATP5F1
RP11-124N2.1,IFNE
FRAT1,ZNF575
TUBG1,
SLFN12,BATF
RP11-120J1.1,RP11-95P13.1
MEGF9,CTSZ
MTSS1L,ALPK3
LINC01604;MINCR;RP13-582O9.5,FANCE
RP11-212I21.2,BCAT1
CYP2C8,SLC17A9
HYLS1,MED18
RP11-497H16.8,RP11-98J23.2
WTAP,
CTD-2626G11.2,CYP2B7P;CYP2B7P1
CEACAM7,PLEKHH2
IL1A,IFNA20P
ZNF880,TRIM51EP
POLR1D,TMEM119
HMHA1,POLR1D
TMEM184C,SEC24D
FABP4,KBTBD12
TAF8,AC087650.1
RP11-834C11.6,CTC1
HTATSF1P2,RP11-537A6.9
POGLUT1,C20orf197
BBC3,RFC4
RP13-996F3.5,YEATS4
DCST2,PDE10A
RP11-122G18.5,PPP1R7
RABL3,ZNF296
GIMAP4,RP11-350N15.5
COPRS,SEMA3F
HHLA3,WDR76
APOE,
SDHAP2,AC024560.2
LINC00476,ASNSD1
CTC-327F10.4,CAPRIN1
TTLL5,DNAAF1
DTX2P1,PMS2P5
SNX18,TSPYL4
C2CD4D,
HLA-U,POLR3DP1
SEC61G,RP11-737O24.5
NMU,ADAMTSL2
ACTN1,ZNF554
WDR77,CTD-2256P15.4
AC073410.1,RP11-44F14.2
CCDC66,C3orf70
RP11-38L15.3,NOL6
PPP1R3C,SLC38A11
CTA-29F11.1,NANP
FTLP3,FGF13
HIST2H2BA,SH2D4A
ITGAV,NUFIP2
FAM167A,CLDN23
SCFD1,ZFPL1
EEF1A2,SSBP1
TBC1D1,TRAV9-2
CTD-2006C1.2,RP11-861E21.2
ARHGEF15,PRR25
UBE2E2,CENPJ
GATAD1,RNF149
AC017116.11,NPY5R
RP1-125I3.2,LPIN1
CDC16,ZNF574
CTC-360G5.6,ANKRD55
FASTKD1,TMEM219
TUBG1,RP11-799D4.4
HACD4;PTPLAD2,COPZ2
RP5-1050D4.3,IGF2BP2
RP1-83M4.2;TPT1P4,CTD-3128G10.6
KCTD10,RP11-392P7.6
SH3PXD2B,EPB42
ANKRD54,GTF2IP1
IL27RA,FTSJ1
EFEMP1,DEPDC1B
RP11-632K20.2,RP11-932O9.7
RP11-544L8__B.4,ARMCX6
PPP3R1,CANT1
FASTKD1,SASS6
UNC93B1,ACPP
TFPI,NAPSB
SDCBP2,EIF2B5
TK2,RP11-503N18.5
ANGEL1,MRPL23-AS1
CALD1,FST
SF3B3,C8orf88;RP11-122A3.2
P4HA1,ZBED5-AS1
C15orf40,MAGED1
RHPN1,MORC4
RP11-309G3.3,RP11-16E18.3
RN7SL331P,RP13-996F3.4
DAGLB,WASL
RP11-109D20.2,LIFR
RP11-411K7.1,TMEM184A
MTF1,ATF7IP
HTR2A,PTENP1
DLG5,ZBTB7C
ZNF738,KAT6A
URB1,B3GNT1;B4GAT1
IL6R,IRF7
UBOX5,NUDT16L1
MLX,ING5
ADAMTS14,EPB41L1
PKD1L2,RP11-575L7.8
PCMT1,TBC1D10A
BTBD7,SYT5
UQCC1,RPL34-AS1
RP11-334A14.8,APRT
UBAC1,FAM210B
RP1-20B21.4,TCP11L2
RP11-266L9.5,ANKRD42
VKORC1L1,RP11-902B17.1
GMNN,BEST4
EIF4B,EIF4BP7
KLRAP1,CBX3P2
KRI1,ETV1
RNU6-418P,AKIP1
HLA-C,RNF5P1
C8orf82,NPTX1
PTPRF,CPA4
GRTP1,MIR5047
SNHG9,RPS2P5
RP11-834C11.11,KDELR2
AC093616.4,MXRA7
RP11-21G15.1,TMEM237
LINC00648,RP11-434B12.1
GTPBP3,NDUFA6
PHBP9,GAPDHP62
RP1-8B1.4,RPL11
CST7,ARHGAP9
CHRNB1,BCAT1
SUPT3H,SUB1P1
RP11-95O2.5,TRIM69
DCDC2,C1RL
CXXC1,CD46
DCAF6,AC022596.6;KRT16P6
IFI44,IFIT1
ANKLE2,RP11-314N13.3
RP11-1017G21.6,MATN4
GUSBP3,RP11-497G19.1
RPS3AP26,CASP9
CTD-2020K17.4,FKBP1A
CSTL1,RP1-137D17.2
FOXRED1,KIAA0895L
RN7SKP70,ACE2
FAM13A-AS1,FIBIN
CIZ1,N4BP2L1
ERVFRD-3;RP11-149I2.5,DEF6
NUP50,IMPG2
RP11-745A24.1,MSTO1
GRTP1,CLUL1
NEIL1,LINC01431
COA1,TAS2R62P
ERCC5,DNASE2B
NUTM2A,RBMS1
PMS2P5,AF064860.5
SETD9,GLUD1
GSDMC,GDF15
LCMT1,LCE2A
P2RY11,CTD-2555O16.1
BTBD1,PLCB3
TOMM7,DOCK10
SSR3,
RP11-305K5.1,
RP3-470B24.5,HYI-AS1
COX6A1,COX6A1P2
HRSP12,HOXC9
MPHOSPH8,CYC1
RBM23,TRIOBP
KCTD21,CTB-50L17.5
RTCA,MSI1
KLF2,TRPM5
FCER1A,FDX1P1
FASTKD1,CCAR2
SMIM12,PNLIPRP1
RP11-526I2.5,RIN2
ART5,
TMEM123,SIAH2-AS1
NEK4,RP1-191J18.66
SMN2,NAIP
UGCG,SLC22A15
ABLIM2,SDF4
MYLIP,RIPK1
PARD6G,C6orf195;LINC01600
CTD-2201G16.1,MYL2
MYH7,MYL2
ZNF252P,RXRA
ARPP19,LACC1
ABCA10,
TAB1,SNORD3B-2
OSBPL1A,CD164
FAM167A,CTA-398F10.2
TACR1,RAPGEF2
U1,ANKRD2
U1,ANKRD2
RP11-488L18.3,NR1D2
TSEN34,CLMN
AC147651.3,RP4-728D4.2
RP11-462G2.2,
TBC1D20,DIRAS2
RPP25L,KCNA1
RPS28,AC018738.2
RPS28,RPS28P7
RPSA,RPSAP19
RP11-259G18.2,LRRC37A4P
RALGAPA1,RALGAPA1P
RP11-274B21.2,CICP13
PRELID1,AC016734.2
LGALS9C,USP32P1
RP11-274B21.4,CICP13
RP11-274B21.1,CICP13
CICP14,CICP13
RP11-259G18.2,DND1P1
RPS18,
NBPF3,LIFR
KRT17P2,USP32P1
RP11-274B21.2,RP11-261C10.7
ADPGK-AS1,TMEM160
TAMM41,PDE1C
RP11-274B21.1,CICP5
RP11-274B21.4,CICP5
RP11-274B21.4,RP11-261C10.7
NMRK1,WWP2
RP11-274B21.2,CICP5
RP11-274B21.3,RP11-261C10.7
RP11-347C12.1,RP11-166B2.1
AGAP9,AGAP10;AGAP9
CTD-2330K9.3,
AC007278.3,GGT3P
EML6,MEA1
CICP14,CICP5
TMEM231,ZFP28
MRPL34,AP000230.1
SMIM19,UPP1
RP11-231C14.4,RP11-166B2.1
MAFB,LAIR1
PLCB3,EPN1
ADPGK-AS1,NCBP2-AS2
AKR1B15,AKR1B10P1
VPS53,DDAH1
CTC-378H22.2,NCR3
AGAP9,RP11-144G6.12
ADPGK-AS1,
BRI3,PHLDA2
ADPGK-AS1,SLC39A3
DCTN5,RHOQP1
CTD-2561J22.5,SLC7A8
ADPGK-AS1,RP11-154J22.1
RP11-458F8.4,ADNP-AS1;RP5-914P20.5
DRAM2,GCNT2
RP5-1021I20.1,IRF6
ADA,FAM160B1
MTO1,SLC37A1
ACAD10,ZNF83
DAGLB,RNF180
PDZD8,TULP1
FLG-AS1,TSACC
KLHL7-AS1,ZNF781
RP11-132A1.4,WDR92
AP000351.10,CCNK
NME6,MIEN1
DOC2A,ARFGAP1
CDC37P1,KHDRBS3
KANSL1,
NHLH1,BCL2L14
CAMKV,CTSL
C1orf86;FAAP20,OXNAD1
TRPV3,RP11-269F19.2
ARHGEF34P,SDHAF2
ADPGK-AS1,CCDC85B
HDDC2,HOXA-AS3
01-Mar,RP11-365O16.3
RP11-423H2.1,THOC3
KIAA1875;WDR97,ETFA
LINC00969,AC024560.2
FAM118A,XYLT2
BANK1,RP11-148O21.2
TCTE1,RP11-177C12.4
TMEM80,CLDN20
BCAT1,MIR1307
AC125232.1,PLGLA
CIB1,FAM175A
LYNX1,RGPD5
RP11-680G24.5,RP11-94L15.2
BANK1,RP11-693J15.5
CYP4F24P,GCK
LLNLR-249E10.1,GCK
SIRPB1,RAC1
PRELID1,PRELID1P1
CICP14,ANAPC13
YIPF5,TFEB
HLA-DQA2,OCM
CTD-2336O2.1,ZNF91
FLG-AS1,ATG10
MGMT,GOLGA4
BRD9,UBE3B
SASS6,CTD-2331C18.5
NUP107,RP3-355L5.3
MAG,MRPL42P2
PLD2,ARHGEF2
LRRC61,JPX
ZC3H3,ZNF283
MBTPS1,DYX1C1-CCPG1
AP000350.4;MIF-AS1,CCNK
GSTT2,CCNK
DDX11,PDE1B
GNAI1,CABP1
RP11-105C19.1,WDR59
CTB-174O21.2,RPL15P21
RPSA,RPSAP19
AGAP8,AGAP4
RPS28,AC018738.2
TDGF1,TDGF1P3
RALGAPA1,RALGAPA1P
RP11-995C19.2,
KANSL1,
SUOX,
LGALS9C,USP32P1
RP11-798G7.8,
RP11-274B21.2,CICP13
BAK1,BAK1P1
IL9RP3,TUBB8P7
H3F3A,H3F3AP4
RPL12,RPL12P16
RP11-638I8.1,RP4-614O4.12
AAR2,NOL11
CTD-3025N20.3,LGALS12
RPS2,RP11-364L4.1
RP11-439A17.7,AL592284.1
CPT1B,ZNF473
LPAR2,ATP6AP2
PKD1P1,NPIPA8
AC138969.4,NPIPA8
KRT36,C6orf132
H3F3A,RP11-402J6.3
WASIR2,TUBB8P7
LINC00115,RP5-855D21.3
HMGN4,ZNF322P1
TBRG4,AC012074.2
FBF1,USF1
PUS10,SGK223
RILPL1,ZSWIM7
FAM72B,AL592284.1
DLEU7-AS1,ABHD6
02-Sep,IMPDH1P10
RP11-206L10.1,MZF1
AAR2,FAM120B
SLFN5,AF001548.5
COL9A3,CGN
RPSA,RPSAP15
CFD,SPAG5-AS1
STAG3L5P-PVRIG2P-PILRB,ERCC2
IL9RP3,IL9R
ARHGAP9,SNORA51
GOLGA6L5;GOLGA6L5P,C1orf95
DHFR,DHFRP1
ATP6V1D,HMMR
JUP,ADGRE1;EMR1
LRRCC1,EFCAB14
KIF18B,UHRF1
RP11-707O23.5,RP11-603B24.2
PILRB,ERCC2
ACTA1,CKM
PKP3,
RP11-274B21.1,RP11-261C10.7
CRHR1,RP11-603B24.2
KDM6B,FRMD6
CRHR1-IT1,RP11-603B24.2
C2CD5,SLAMF8
RP11-274B21.4,RP11-261C10.7
RP11-274B21.2,RP11-261C10.7
RILPL1,TRBV5-5
OR52K3P,RP11-67A1.2
RP11-175P19.2,TMEM41B
GAS6-AS1,LINC01389;RP11-511I2.2
ISCU,RP4-665N4.8
AGA,RP11-419I17.1
FOLR3,AF127936.3
DNM3,FAM188A
RP11-274B21.3,RP11-261C10.7
NIPAL2,EXTL1
PLCH2,CTC-428G20.3
LINC00476,RP13-977J11.2
RP4-809F18.1,RP11-448A19.1
ERO1B;ERO1LB,CTD-2555A7.3
ZNF740,FAM229B
RP11-497H16.2,RP11-848G14.5
RP11-589F5.3,RP11-848G14.5
RILPL1,
RP11-335G20.7,GPR174
SKAP1,KIF21B
SMIM12,RP11-603J24.17
ZNF737,C10orf35
ACTA1,MB
CTB-31O20.4,MARS2
ZNF706,LEMD2
LINC00338;SNHG20,AK6;TAF9
DIS3L,CTA-363E19.2
FAM114A1,TMED10
RIPK3,RN7SKP70
C7orf25,ANXA1
DDX31,CTD-3193K9.3
PAPSS1,ZFR2
RPS2,RPS2P7
RP11-1006G14.4,
RPS18,
ACTA1,MYL2
XIRP2,GPHN
LYG1,FAM43B
FARP2,PPP2R2B
RNF19A,RP11-29H23.5
WASIR2,IL9R
HMGXB3,NUDT1
RNF141,AKAP17A
RP11-1143G9.4,RP1-120G22.11
ASNSD1,C8orf44
ANO9,C6orf47
C17orf66,KLK1
PNKP,RHPN1
P2RY12,NKX3-2
RP11-160E2.11,TM9SF4
IL9RP3,RP11-683L23.1;TUBB8P12
KANSL1-AS1,RP11-603B24.2
B4GALNT3,SERINC1
MIR1307,
DAB2IP,C1orf53
ZNF273,RANBP10
CCDC88A,RP11-670E13.2
CLUAP1,RGS5
CCDC125,AMPD3
TAMM41,RAN
LRRC37A,RP11-603B24.2
NDST4,RP11-517B11.4
LRRCC1,PRPS2
MRPL48,CENPBD1
RCVRN,RP11-267N12.3
ANAPC1P1,CD8BP
AC011526.1;PCAT19,GAK
NUDT13,RBL1
SLC18A2,CYTH1
TSLP,TTTY14
RP11-247A12.7,LSM8;NAA38
NFKBIB,AC092159.2
ACTA1,AP001429.1
CTD-2012J19.1,CICP14
ALDH16A1,QDPR
XIRP2,C17orf66
SLFNL1,MECOM
NDUFA3,COX20P2
SPINK5,NPC1
COLCA1,SIK3
P2RY12,ZFP69
TMEM181,RP11-33O4.1
NOC3L,AMYP1
MRS2,PSMD14
ARG1,RP11-676J12.7
CLHC1,POM121L9P
LINC01315;Z83851.1,ARL4C
AFTPH,THAP7-AS1
RP11-498P14.5,PRKRA
ATP8A2,
DIS3L,
ZC3H11A,TAPBP
RP11-509J21.3,MRPL3
LINC00996,PAG1
NR2F6,PIK3CG
MCOLN2,NNAT
INO80E,APOA4
UBALD2,AREG
KIF18B,ZWINT
KCTD15,C5orf51
LRRCC1,SPTBN1
CLECL1,NR3C1
SPATA7,USP51
RP11-195E2.4,LINC00890
C1orf86;FAAP20,PPP1R7
CCDC57,LPCAT2
LEPROTL1,PSMC1
RP11-1134I14.8,NADK2
ADAR,RP11-1006G14.4
LINC01352;RP11-295M18.2,MUTYH
AAR2,ABCF1
NIPAL2,ARHGAP26
KIF18B,DLGAP5
HLA-DRB1,
RP1-283K11.3,
PITPNB,TNNT2
RP11-77P16.4,RAB23
LINC00969,PSME2
SNHG15,SNHG1
SEC24A,PGM3
ZNF814,FGF8
TREML3P,CCDC22
TRPV2,CSF3
COX7A2L,RP11-677I18.3
PDCL3P4,CFAP70;TTC18
NDUFA12,RP11-666A8.7
SRSF9,CD79B
ABHD12B,NFKBIA
CCDC157,TRMT10A
NDUFB2,MPPED2
ODF2L,PRKAR2A
GSKIP,KDM5D
DNA2,NSUN5P2
LARS2,ZNF235
DNTTIP1,OSCAR
IGKV1D-13,RNF148
AP001605.4,
GCAT,P4HA3
OLAH,POR
C2CD5,RPS3AP5
DHX35,CMTM1
RPSA,HBQ1
STK32C,RP11-332H18.4;TBX2-AS1
SPATA20,IQCD
SPG7,ETV6
TBC1D9B,DCAF4
RP11-274B21.1,CICP5
ABCF2,CST6
DNASE1L3,RPL31P52
ZC3H11A,C6orf136
CECR7,RP11-1191J2.5
CROCC,HS6ST1
AC068039.4,NAIF1
LINC01515;RP11-222A11.1,CKB
TESPA1,POU2AF1
RP11-175P19.2,PIP
NFATC3,AC007278.3
RNF138,GABRB2
RP11-147I3.1,RREB1
CRIPAK,RP11-105N14.1
TMED1,SETD3
RPS26,
RPSA,RPSAP19
RPS28,AC018738.2
RPS28,RPS28P7
FAM21A,
RNF5,RNF5P1
RP11-259G18.2,CRHR1-IT1
RP11-423H2.1,THOC3
CICP14,CICP13
RP11-274B21.1,CICP13
RP11-274B21.3,CICP13
RP11-274B21.2,CICP13
RP11-274B21.4,CICP13
RALGAPA1,RALGAPA1P
ARL17B,
FAM106A,USP32P1
RPL13,RPL13P12
RP11-259G18.3,DND1P1
RP11-259G18.2,DND1P1
RPS18,
RPSA,RPSAP15
KANSL1,
MTRF1L,RP11-756P10.3
ZNF322,ZNF322P1
CICP14,CICP5
RP11-274B21.1,CICP5
RP11-274B21.2,CICP5
BAK1,BAK1P1
AC005363.9,RP11-364L4.1
AGAP7,AGAP4
RPL12,RPL12P16
AC018638.1,CICP5
EIF3F,EIF3FP3
PYROXD1,RP11-819M15.1
SNHG9,RPS2P46
NOMO3,PKD1P5
AC103965.1;GOLGA2P7,RP13-996F3.3
RP11-592B15.3,AGAP4
ADGRE5;CD97,RAB20
CLEC18C,NPIPB15
CLEC18A,NPIPB15
RP11-958N24.2,PKD1P5
GTF2H2C,GTF2H2
PRR13,CTC-471F3.4;PRR13P5
LINC00933,RP13-996F3.3
RP11-958N24.2,NPIPA8
NOMO3,NPIPA8
PKD1P1,NPIPA8
AC138969.4,NPIPA8
AC018638.1,LINC01347
CICP14,LINC01347
RP11-274B21.1,LINC01347
RP11-274B21.3,LINC01347
RP11-274B21.2,LINC01347
RP11-274B21.4,LINC01347
NUS1,HOXA1
THADA,SNRPB
AC005363.9,RPS2P7
FAM103A1,FAM103A2P
AC010642.1,CCDC180
ARL17A,
RP11-274B21.1,RP11-261C10.7
RP11-274B21.3,RP11-261C10.7
RP11-274B21.2,RP11-261C10.7
RP11-274B21.4,RP11-261C10.7
RP11-958N24.2,
GINM1,AC007405.2;LINC01124
SNX9,EHHADH
AC018638.1,RP11-261C10.7
SLC38A11,VPS4B
LRRC37A,LRRC37A17P
APIP,RP11-196I18.3
SEC14L6,AC012615.1
YBX3,EDC3
LGALS8,RP11-244N9.4
WNT3,CRHR1
SULT1C3,ZNF496
PDXDC2P,NPIPB15
AC010642.1,MIR22HG
SNX1,TMEM67
H3F3A,H3F3AP4
NBR2,
SRD5A3-AS1,LBX2
SRD5A3,LBX2
AMDHD1,RP11-313D6.3
RP4-639F20.1,KIF3C
TMEM133,GAREM
AC005154.6,RHD
ZNF384,ORAOV1
CHD2,
FAM153A,RP11-826N14.2
RP4-607J23.2,PRF1
RDH5,ZNF517
AC093642.5,AC137934.1
CCDC57,RP11-196O16.1
PDCD6,B2M
Z97634.3,THEM6
STX8,NKTR
GTF2H2C,RP11-195E2.4
SLC17A9,CTB-50L17.5
BDH1,MIR4721
EFCAB13,GAS2
AC005363.9,RPS2P5
LRRC37A2,LRRC37A17P
ATP6V0B,UQCRQ
TMEM180,ZFHX2
RP1-283E3.4,BCS1L
RP11-345P4.10,TFPI
SLC35E2B,TFPI
RP11-981P6.1,A2MP1
TRABD,POU6F2-AS1
BDH1,TUFM
SPTBN5,TNFAIP3
LDHC,AQP7P1
MCM2,NOC2L
SAP25,ESD
RBM33,ALOX12
AGAP4,AGAP8
YWHAZ,YWHAZP3
GPR160,EFS
AC118278.1,ASPDH
ZNF404,KANTR
GOLGA6L10,RP11-561C5.4
TMTC4,ABCA6
HMGB1P5,RP11-673C5.1
ZNF215,CRHR1-IT1
RTP4,IL32
DTNA,XPR1
RP11-473M20.5,RP11-796G6.1
RP11-661A12.12,PRKD2
STX7,UBN1
PPIA,KNDC1
RP11-432I5.1;TAT-AS1,ARX
LIMD1,C14orf28
N4BP2,COLEC11
CYP2C8,
TOB1-AS1,UBE2I
H3F3A,RP11-402J6.3
SETD4,PPP2R5B
PKN3,SFI1
GCSAML-AS1,Z82214.2
BTRC,10-Mar
HOXB2,NPM1P39
RHPN1,USP34
ABCF1,
ADAM10,TRMT12
RP11-23J9.4,RP4-800G7.2
CCDC180,RP4-800G7.2
CPSF2,SH3BP1
AC091171.1,ABHD17AP4
TDRKH,NEMP1;TMEM194A
ANKK1,RP11-44D5.1
RP3-430N8.10,RP11-88H9.2
DANCR,MYO5B
CHD2,KCNH7
GPAT2,RP4-657D16.3
SH3D21,ANGPT2
ENTPD2,SURF1
OGFOD3,OSBPL3
RPL12,RPL12P4
AC073410.1,ALOX15B
SYTL2,TAF9B
CDC6,CTDNEP1
MSH4,STEAP3
MURC,WIZ
TTC9,AC007193.9
HOTAIRM1,RP1-13D10.2
BCR,BCRP2
MMD,IQCH-AS1
AC004951.5,PRR5
SAMD9L,RP11-158M2.4
CASP7,AC137932.6
CALML5,LOR
HSPA9,BDP1
ZNF160,SLC7A6OS
TOP3B,
AC010642.1,RP11-23J9.4
BISPR;CTD-2521M24.9,REV3L
MTHFSD,MEF2C-AS1
THADA,COPS7A
CENPP,CDYL
ZMIZ2,ADAP1
AC002451.3,
CLEC18C,CLEC18B
NICN1,GPX1P1
CYP4F24P,PTN
RP11-137H2.4,FGF7
CASP8,MAP7
ZNF431,DDAH2
AC004980.7,RGPD8
POMZP3,RGPD8
ZP3,RGPD8
ZNF778,CCNK
RP1-59D14.5,CCDC15
KBTBD12,CTD-3222D19.11
USP14,LSM12P1
CTSH,VWA1
RP11-81H3.2,
RP11-612B6.2,RP5-1139B12.2
ACTA1,MYL2
TRIAP1,EDN2
PICALM,RP11-120J1.1
RP11-567L7.5,KANK4
PLGRKT,C8orf46
ELP3,GLTSCR1
HMGB1P5,CYP4F12
CTD-2022H16.2;NCAPGP2,BCL3
RP11-981G7.6,FANCE
B3GNT2,IL6
TYW1,ZNF469
RP11-298I3.1,RP11-326C3.13
KRT16P2,ZFYVE1
LIPG,PM20D2
CDC20P1,ECHDC2
EXOSC10,HERPUD1
NOSIP,FMO3
CFDP1,COLQ
C4orf3,ZGLP1
CPNE3,NIPSNAP3A
TMEM80,AP1AR
MCM8,AC002511.3
FAM228B,ZSCAN2
HLA-DMA,BTN3A2
MAATS1,RP11-459I19.1
HOXB2,PCDHB2
PARP10,ZNF433
HSPG2,RP11-182J23.1
ZFYVE19,RAB3C
MSMB,FANCB
NCKIPSD,GPX1P1
AP3M2,RP11-732A19.6
YTHDC2,RDH10
ZNF468,RP11-104H15.9
MRPS10,GNA13
AGFG1,RP1-283K11.3
RP11-508N22.12,MIS18A
GORAB,CLDN12
LEFTY1,TMA16
C8orf46,CTB-60B18.10
SEC14L6,MLXIP
CRAT,LA16c-316G12.2
AC092295.7;ZNF529-AS1,STAT5B
FLOT1,RP11-1026M7.2
B3GNT8,CNBP
LYNX1,C2orf72
LRPAP1,SETD2
