cisGene.Symbol,transGene.Symbol
CELA3B,SYCN
RP11-1319K7.1,RP11-848G14.5
RP11-6E9.4,MIR100HG;RP11-820L6.1
CEP72,MSI2
NUP54,HDGF
RN7SL417P,RP13-996F3.5
AP000769.1,LACTB2
CHCHD2,IDH3G
B3GNT1;B4GAT1,SPIN3
RP11-495O10.1,ZNF175
CD200R1,RRM2B
IFITM10,GTF3C5
RP11-981G7.6,CCR5
FAS,CXorf21
UBXN10,SERPINF1
RFWD3,RPL21P120
PPP1R32,SDR16C5
AC093627.8,RP11-885N19.6
LINC00847,NHP2P1
GPR157,AC127496.1
HIATL1,CDC42SE2
PLCE1-AS1,RP11-529H20.5
RPRD1B,TMEM238
TRPC4AP,ACKR2
CILP,
AC093838.4,AC018804.6
RP11-383F6.1,TCEAL4
TBKBP1,SERPINF2
SCAND2P,CTB-33G10.11
LINC01352;RP11-295M18.2,LY86-AS1
PMS2P2,TRIM74
GUSBP3,GTF2H2
SBSPON,ZNF714
ZFYVE19,LY6E
BMPR1A,BMPR1APS2
SMG7,C4orf32
RP11-932O9.7,RP11-1000B6.3
ADRB2,RP11-20G6.3
RP4-555D20.2,L1CAM
ZNF764,DOK6
RP11-481J13.1,UBXN4
AC007743.1,UBXN4
GOLGA8R,RP11-1000B6.3
CTD-3092A11.2,RP11-1000B6.3
FABP5P7,FABP5
RPL36,PATL2
FXYD5,INO80E
RNU6-395P,C11orf31
RP11-932O9.9,RP11-1000B6.3
CTD-3092A11.1,RP11-1000B6.3
ATP8B4,TRMT11
RP11-1081M5.1,TSPAN31
C16orf46,GCSHP5
MRGPRF-AS1;RP11-554A11.6,EIF2S2
UBE2I,PKIA
STK32A,SUPT6H
GNMT,CYP4F24P
CELA3A,PNLIP
CELA3B,PNLIP
CYP2D6,CTB-187M2.2
DALRD3,GPX1P1
KIF5C,RP11-357D18.1
LYSMD3,STRN3
FAM169A,PRPF40A
SEC62,
TXNL4B,ZNF548
CKM,MB
PLA2G7,RP11-180C16.1
GUSBP4,RP11-1023L17.1
ETV1,IL5
RP11-274B21.1,LINC01347
RAB26,SH2D5
RTN4RL2,SBNO2
RP11-624G17.3,SBNO2
FGL2,ANXA6
RP11-27M24.1,CTC-246B18.10
PCK2,PSKH1
PALD1,PGF
FCN1,LINC00484
LPP,LRCH3
CDCA3,TNFRSF10B
RP11-420K14.1,LILRA6
FAM85A,AC007875.2
MYSM1,CPT1C
SMIM19,DFNB59
P4HTM,CRIPAK
CTD-2054N24.2,FAM151B
ANTXR2,RAB6B
AC018638.1,CTD-2021A8.2
TMEM41B,PSTPIP2
RP11-347I19.8,SMPDL3A
STX10,APOL6
CACNA2D4,TFAP4
RP11-294J22.6,SNORD3A
PSMA3-AS1;RP11-349A22.5,
CPED1,EPHX4
EDEM3,PYM1;WIBG
RPL18A,AC079250.1
AC099048.1,CAMK2D
RP11-212P7.2,LINC01347
STRC,PIANP
RER1,NDUFB10
SKOR1,RORA-AS1;RP11-219B17.1
KLC1,GDF15
PRR11,FANCD2
SH3YL1,ZNF311
LSM14A,P4HA3
FAM214B,CERK
DNAJB12,BZRAP1
KANSL2,FOXS1
OR6B3,FMO3
GGH,RP4-730K3.3
MYH11,AF001548.5
DGCR6,TMEM191C
RP11-440I14.2,MYSM1
RP11-72M17.1,PSMD14
BLNK,PRPF6
DMGDH,RPL23A
DSN1,C19orf53
ABCC3,TFPI2
MICD,OR7E94P
BOD1L1,CRLS1
C9orf156,COPS7A
GDPD4,RP11-403I13.8
XXbac-BPG299F13.17,HLA-A
RP11-326C3.12,HLA-F-AS1
FBXL3,BVES
RP11-158I13.2,AC107081.5
RPH3AL,ZNF24
STAT2,FAM185A
NRXN1,ARHGEF26-AS1
ALPK1,SETDB2
RPS5,RPL7P15
CLN5,ABL2
RP11-624G17.3,PTP4A1
LINC01198;RP11-189B4.6,COL4A6
LINC-PINT;MKLN1-AS1,AREL1
AC009107.1,SLC25A39
GBE1,PSEN2
MMP24,POLR1B
MGMT,CTD-2516F10.2
TRUB1,ATN1
RP11-80H8.4,ZDBF2
PEX7,LACE1
MTFP1,NEDD9
TUBB2B,
RP11-209D14.2,PTK7
SEH1L,SH2D1A
AL592494.5,RP11-326G21.1
GALNS,RPS13
GPRC5B,LINC01010
TLR6,DOCK6
SLFN5,ACVR1C
CRBN,BUB3
PDGFA,CTB-131B5.5
KB-1836B5.4,NAMPT
LINC00667,ETV1
TTLL4,RPL34
ZBTB40,PRDM2
ADAMTS2,HEXA
RMND5B,AC007899.3
NUDCD3,TTN-AS1
RP11-106M3.3,ARHGEF10L
RP11-486O12.2,NRAS
USP32,CLEC2B
TRIM21,IFIT3
CTB-167B5.1,RP5-1126H10.2
TRIM21,DDX58
TRPC4AP,MAP1LC3A
GBP2,HLA-F
RPS3A,RPS3AP5
EDEM1,HKR1
FAM213A,INTS8
CLYBL,FAM45B
DHRS11,CTD-2054N24.2
RP11-399K21.14,RHOXF1-AS1
RP11-697E2.7,UBE2A
IFI27L2,CAMK2D
PSMA6,XBP1P1
RP1-228P16.1,PPP1R14C
RP11-274B21.3,LINC00999
TMEM160,RP11-244K5.8
FBLIM1,C5orf17
CENPQ,AC007064.24
RETSAT,C16orf45
CELA3A,CELA2B
CELA3B,CELA2B
OSCAR,MRVI1-AS1
TOR1B,LDLRAD4-AS1
RASGRP3,MBNL1
RP11-499O7.7,SEC24B-AS1
IFI27L1,IL20RB-AS1
PAPSS1,RP11-505P4.6
UBXN10,SUCNR1
CCDC144B,DEGS1
HEXDC,SLX4
AFTPH,UBL4B
HOTAIRM1,
